time,availPrbDl,availPrbUl,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,step,throughput,x,y
2024-05-29T09:11:26.475136Z,12,9,35,304,2024-05-29 09:11:26.469372,1,176.52991680774926,176.52991680774926,0,176.52991680774926,250,300
2024-05-29T09:11:26.909770Z,48,77,74,371,2024-05-29 09:11:26.469404,2,227.1397412055898,227.1397412055898,0,227.1397412055898,500,125
2024-05-29T09:11:27.341221Z,39,53,30,390,2024-05-29 09:11:26.469411,3,227.7967815190204,227.7967815190204,0,227.7967815190204,750,300
2024-05-29T09:11:27.768770Z,12,57,16,448,2024-05-29 09:11:26.469417,4,253.3418930793737,253.3418930793737,0,253.3418930793737,750,700
2024-05-29T09:11:28.222555Z,76,20,84,171,2024-05-29 09:11:26.469423,5,101.03475435682316,101.03475435682316,0,101.03475435682316,500,875
2024-05-29T09:11:28.670084Z,46,99,13,496,2024-05-29 09:11:26.469429,6,279.7050928722225,279.7050928722225,0,279.7050928722225,250,700
2024-05-29T09:12:07.350184Z,29,69,95,304,2024-05-29 09:12:07.345392,1,176.52991680774926,176.52991680774926,1,176.52991680774926,250,300
2024-05-29T09:12:07.792266Z,48,4,43,371,2024-05-29 09:12:07.345429,2,227.1397412055898,227.1397412055898,1,227.1397412055898,500,125
2024-05-29T09:12:08.218859Z,97,37,37,390,2024-05-29 09:12:07.345436,3,227.7967815190204,227.7967815190204,1,227.7967815190204,750,300
2024-05-29T09:12:08.650558Z,31,11,86,448,2024-05-29 09:12:07.345443,4,253.3418930793737,253.3418930793737,1,253.3418930793737,750,700
2024-05-29T09:12:09.074752Z,37,88,1,171,2024-05-29 09:12:07.345450,5,101.03475435682316,101.03475435682316,1,101.03475435682316,500,875
2024-05-29T09:12:09.496465Z,11,43,38,496,2024-05-29 09:12:07.345457,6,279.7050928722225,279.7050928722225,1,279.7050928722225,250,700
2024-05-29T09:12:48.159166Z,48,23,97,304,2024-05-29 09:12:48.150596,1,176.52991680774926,176.52991680774926,2,176.52991680774926,250,300
2024-05-29T09:12:48.588129Z,11,28,6,371,2024-05-29 09:12:48.150630,2,227.1397412055898,227.1397412055898,2,227.1397412055898,500,125
2024-05-29T09:12:49.039913Z,43,20,64,390,2024-05-29 09:12:48.150638,3,227.7967815190204,227.7967815190204,2,227.7967815190204,750,300
2024-05-29T09:12:49.476279Z,7,30,38,448,2024-05-29 09:12:48.150645,4,253.3418930793737,253.3418930793737,2,253.3418930793737,750,700
2024-05-29T09:12:49.917162Z,45,20,16,171,2024-05-29 09:12:48.150651,5,101.03475435682316,101.03475435682316,2,101.03475435682316,500,875
2024-05-29T09:12:50.350675Z,33,65,85,496,2024-05-29 09:12:48.150658,6,279.7050928722225,279.7050928722225,2,279.7050928722225,250,700
