time,availPrbDl,availPrbUl,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,step,throughput,x,y
2024-04-25T11:57:47.993874Z,22,29,86,334,2024-04-25 11:57:47.986228,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T11:57:48.462915Z,17,100,3,335,2024-04-25 11:57:47.986260,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T11:57:48.891137Z,75,1,43,298,2024-04-25 11:57:47.986267,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T11:57:49.320358Z,46,58,4,501,2024-04-25 11:57:47.986274,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T11:57:49.747106Z,1,34,93,250,2024-04-25 11:57:47.986280,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T11:57:50.179090Z,22,15,65,429,2024-04-25 11:57:47.986286,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T11:58:28.853516Z,76,9,33,334,2024-04-25 11:58:28.849434,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T11:58:29.286200Z,45,78,74,335,2024-04-25 11:58:28.849466,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T11:58:29.707180Z,80,48,77,298,2024-04-25 11:58:28.849475,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T11:58:30.129475Z,64,6,93,501,2024-04-25 11:58:28.849483,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T11:58:30.560003Z,31,24,25,250,2024-04-25 11:58:28.849489,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T11:58:30.989366Z,43,66,57,429,2024-04-25 11:58:28.849496,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T11:59:09.430987Z,72,92,60,334,2024-04-25 11:59:09.426723,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T11:59:09.862878Z,27,16,33,335,2024-04-25 11:59:09.426755,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T11:59:10.339486Z,18,16,9,298,2024-04-25 11:59:09.426763,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T11:59:10.774795Z,8,12,64,501,2024-04-25 11:59:09.426771,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T11:59:11.196666Z,70,100,25,250,2024-04-25 11:59:09.426778,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T11:59:11.617338Z,65,88,68,429,2024-04-25 11:59:09.426784,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T11:59:49.689973Z,60,67,27,334,2024-04-25 11:59:49.679695,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T11:59:50.125266Z,55,96,27,335,2024-04-25 11:59:49.679726,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T11:59:50.546399Z,37,33,93,298,2024-04-25 11:59:49.679734,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T11:59:50.979589Z,82,54,32,501,2024-04-25 11:59:49.679741,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T11:59:51.400166Z,42,66,10,250,2024-04-25 11:59:49.679748,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T11:59:51.824868Z,82,63,61,429,2024-04-25 11:59:49.679755,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T12:00:29.982320Z,73,54,69,334,2024-04-25 12:00:29.964442,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T12:00:30.422344Z,40,70,59,335,2024-04-25 12:00:29.964480,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T12:00:30.871314Z,89,75,32,298,2024-04-25 12:00:29.964493,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T12:00:31.318444Z,39,8,23,501,2024-04-25 12:00:29.964503,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T12:00:31.761514Z,88,83,2,250,2024-04-25 12:00:29.964514,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T12:00:32.187836Z,25,81,90,429,2024-04-25 12:00:29.964526,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T12:01:10.206066Z,58,98,20,334,2024-04-25 12:01:10.201741,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T12:01:10.625660Z,12,34,96,335,2024-04-25 12:01:10.201775,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T12:01:11.046724Z,79,11,100,298,2024-04-25 12:01:10.201783,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T12:01:11.471033Z,62,77,96,501,2024-04-25 12:01:10.201790,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T12:01:11.891365Z,57,37,34,250,2024-04-25 12:01:10.201797,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T12:01:12.310876Z,25,29,99,429,2024-04-25 12:01:10.201804,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T12:01:50.347641Z,70,10,79,334,2024-04-25 12:01:50.343207,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T12:01:50.773010Z,82,76,34,335,2024-04-25 12:01:50.343238,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T12:01:51.240814Z,80,42,32,298,2024-04-25 12:01:50.343245,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T12:01:51.660598Z,94,86,95,501,2024-04-25 12:01:50.343253,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T12:01:52.080640Z,6,63,58,250,2024-04-25 12:01:50.343260,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T12:01:52.501530Z,68,44,67,429,2024-04-25 12:01:50.343266,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
2024-04-25T12:02:30.533457Z,78,5,100,334,2024-04-25 12:02:30.528799,1,203.34941752344082,203.34941752344082,0,203.34941752344082,250,300
2024-04-25T12:02:30.953448Z,27,89,57,335,2024-04-25 12:02:30.528828,2,202.38744055290402,202.38744055290402,0,202.38744055290402,500,125
2024-04-25T12:02:31.376475Z,6,53,94,298,2024-04-25 12:02:30.528837,3,177.27424378225615,177.27424378225615,0,177.27424378225615,750,300
2024-04-25T12:02:31.799487Z,20,5,21,501,2024-04-25 12:02:30.528844,4,278.5130743112026,278.5130743112026,0,278.5130743112026,750,700
2024-04-25T12:02:32.222368Z,8,56,67,250,2024-04-25 12:02:30.528851,5,151.81624621644514,151.81624621644514,0,151.81624621644514,500,875
2024-04-25T12:02:32.646974Z,72,63,65,429,2024-04-25 12:02:30.528858,6,253.6833705886665,253.6833705886665,0,253.6833705886665,250,700
