time,availPrbDl,availPrbUl,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,step,throughput,x,y
2024-05-28T12:56:50.136301Z,2,5,65,360,2024-05-28 12:56:50.131157,1,201.99206687567545,201.99206687567545,0,201.99206687567545,250,300
2024-05-28T12:56:50.563541Z,8,5,14,300,2024-05-28 12:56:50.131187,2,177.4170671592952,177.4170671592952,0,177.4170671592952,500,125
2024-05-28T12:56:50.983010Z,95,15,1,276,2024-05-28 12:56:50.131194,3,151.7524225388903,151.7524225388903,0,151.7524225388903,750,300
2024-05-28T12:56:51.400989Z,9,42,4,563,2024-05-28 12:56:50.131200,4,329.6687590120163,329.6687590120163,0,329.6687590120163,750,700
2024-05-28T12:56:51.824846Z,11,57,48,250,2024-05-28 12:56:50.131356,5,161.30050217637492,161.30050217637492,0,161.30050217637492,500,875
2024-05-28T12:56:52.245711Z,8,92,85,448,2024-05-28 12:56:50.131372,6,252.34937166617266,252.34937166617266,0,252.34937166617266,250,700
2024-05-28T12:57:29.614604Z,20,75,93,360,2024-05-28 12:57:29.610742,1,201.99206687567545,201.99206687567545,1,201.99206687567545,250,300
2024-05-28T12:57:30.034698Z,55,1,16,300,2024-05-28 12:57:29.610770,2,177.4170671592952,177.4170671592952,1,177.4170671592952,500,125
2024-05-28T12:57:30.453672Z,96,17,51,276,2024-05-28 12:57:29.610778,3,151.7524225388903,151.7524225388903,1,151.7524225388903,750,300
2024-05-28T12:57:30.872581Z,98,59,93,563,2024-05-28 12:57:29.610784,4,329.6687590120163,329.6687590120163,1,329.6687590120163,750,700
2024-05-28T12:57:31.292785Z,71,2,25,250,2024-05-28 12:57:29.610932,5,171.30050217637492,171.30050217637492,1,171.30050217637492,500,875
2024-05-28T12:57:31.712139Z,25,13,64,448,2024-05-28 12:57:29.610942,6,252.34937166617266,252.34937166617266,1,252.34937166617266,250,700
2024-05-28T12:58:09.010457Z,60,55,56,360,2024-05-28 12:58:09.006601,1,201.99206687567545,201.99206687567545,2,201.99206687567545,250,300
2024-05-28T12:58:09.429564Z,92,25,56,300,2024-05-28 12:58:09.006631,2,177.4170671592952,177.4170671592952,2,177.4170671592952,500,125
2024-05-28T12:58:09.847986Z,76,63,97,276,2024-05-28 12:58:09.006638,3,151.7524225388903,151.7524225388903,2,151.7524225388903,750,300
2024-05-28T12:58:10.265816Z,38,61,25,563,2024-05-28 12:58:09.006645,4,329.6687590120163,329.6687590120163,2,329.6687590120163,750,700
2024-05-28T12:58:10.683285Z,64,71,61,250,2024-05-28 12:58:09.006790,5,181.30050217637492,181.30050217637492,2,181.30050217637492,500,875
2024-05-28T12:58:11.100373Z,81,70,13,448,2024-05-28 12:58:09.006806,6,252.34937166617266,252.34937166617266,2,252.34937166617266,250,700
2024-05-28T12:58:48.387545Z,73,49,68,360,2024-05-28 12:58:48.383473,1,201.99206687567545,201.99206687567545,3,201.99206687567545,250,300
2024-05-28T12:58:48.805528Z,62,29,19,300,2024-05-28 12:58:48.383500,2,177.4170671592952,177.4170671592952,3,177.4170671592952,500,125
2024-05-28T12:58:49.225147Z,52,91,85,276,2024-05-28 12:58:48.383508,3,151.7524225388903,151.7524225388903,3,151.7524225388903,750,300
2024-05-28T12:58:49.643024Z,76,25,16,563,2024-05-28 12:58:48.383515,4,329.6687590120163,329.6687590120163,3,329.6687590120163,750,700
2024-05-28T12:58:50.078639Z,56,11,14,250,2024-05-28 12:58:48.383657,5,191.30050217637492,191.30050217637492,3,191.30050217637492,500,875
2024-05-28T12:58:50.495379Z,36,28,5,448,2024-05-28 12:58:48.383667,6,252.34937166617266,252.34937166617266,3,252.34937166617266,250,700
2024-05-28T12:59:27.966532Z,53,100,41,360,2024-05-28 12:59:27.962656,1,201.99206687567545,201.99206687567545,4,201.99206687567545,250,300
2024-05-28T12:59:28.385870Z,27,18,64,300,2024-05-28 12:59:27.962682,2,177.4170671592952,177.4170671592952,4,177.4170671592952,500,125
2024-05-28T12:59:28.809693Z,7,79,45,276,2024-05-28 12:59:27.962689,3,151.7524225388903,151.7524225388903,4,151.7524225388903,750,300
2024-05-28T12:59:29.229054Z,53,9,91,563,2024-05-28 12:59:27.962696,4,329.6687590120163,329.6687590120163,4,329.6687590120163,750,700
2024-05-28T12:59:29.648028Z,62,22,82,250,2024-05-28 12:59:27.962839,5,201.30050217637492,201.30050217637492,4,201.30050217637492,500,875
2024-05-28T12:59:30.087159Z,31,26,36,448,2024-05-28 12:59:27.962854,6,252.34937166617266,252.34937166617266,4,252.34937166617266,250,700
2024-05-28T13:00:07.504933Z,4,33,30,360,2024-05-28 13:00:07.498830,1,201.99206687567545,201.99206687567545,5,201.99206687567545,250,300
2024-05-28T13:00:07.928021Z,83,83,35,300,2024-05-28 13:00:07.498860,2,177.4170671592952,177.4170671592952,5,177.4170671592952,500,125
2024-05-28T13:00:08.347238Z,91,83,98,276,2024-05-28 13:00:07.498868,3,151.7524225388903,151.7524225388903,5,151.7524225388903,750,300
2024-05-28T13:00:08.766659Z,96,50,70,563,2024-05-28 13:00:07.498875,4,329.6687590120163,329.6687590120163,5,329.6687590120163,750,700
2024-05-28T13:00:09.191371Z,97,41,36,250,2024-05-28 13:00:07.499058,5,211.30050217637492,211.30050217637492,5,211.30050217637492,500,875
2024-05-28T13:00:09.610406Z,16,19,23,448,2024-05-28 13:00:07.499075,6,252.34937166617266,252.34937166617266,5,252.34937166617266,250,700
2024-05-28T13:00:47.311578Z,81,70,51,360,2024-05-28 13:00:47.307185,1,201.99206687567545,201.99206687567545,6,201.99206687567545,250,300
2024-05-28T13:00:47.732143Z,51,28,21,300,2024-05-28 13:00:47.307214,2,177.4170671592952,177.4170671592952,6,177.4170671592952,500,125
2024-05-28T13:00:48.150394Z,78,22,86,276,2024-05-28 13:00:47.307222,3,151.7524225388903,151.7524225388903,6,151.7524225388903,750,300
2024-05-28T13:00:48.569904Z,90,89,89,563,2024-05-28 13:00:47.307229,4,329.6687590120163,329.6687590120163,6,329.6687590120163,750,700
2024-05-28T13:00:48.989830Z,44,28,2,250,2024-05-28 13:00:47.307381,5,221.30050217637492,221.30050217637492,6,221.30050217637492,500,875
2024-05-28T13:00:49.408593Z,77,53,82,448,2024-05-28 13:00:47.307399,6,252.34937166617266,252.34937166617266,6,252.34937166617266,250,700
2024-05-28T13:01:27.091244Z,50,75,74,360,2024-05-28 13:01:27.082315,1,201.99206687567545,201.99206687567545,7,201.99206687567545,250,300
2024-05-28T13:01:27.512228Z,12,85,42,300,2024-05-28 13:01:27.082348,2,177.4170671592952,177.4170671592952,7,177.4170671592952,500,125
2024-05-28T13:01:27.937829Z,97,59,54,276,2024-05-28 13:01:27.082355,3,151.7524225388903,151.7524225388903,7,151.7524225388903,750,300
2024-05-28T13:01:28.360120Z,33,91,57,563,2024-05-28 13:01:27.082362,4,329.6687590120163,329.6687590120163,7,329.6687590120163,750,700
2024-05-28T13:01:28.780854Z,29,70,94,250,2024-05-28 13:01:27.082511,5,231.30050217637492,231.30050217637492,7,231.30050217637492,500,875
2024-05-28T13:01:29.200109Z,93,94,48,448,2024-05-28 13:01:27.082521,6,252.34937166617266,252.34937166617266,7,252.34937166617266,250,700
2024-05-28T13:02:06.958200Z,87,6,12,360,2024-05-28 13:02:06.953890,1,201.99206687567545,201.99206687567545,8,201.99206687567545,250,300
2024-05-28T13:02:07.408696Z,17,97,58,300,2024-05-28 13:02:06.953938,2,177.4170671592952,177.4170671592952,8,177.4170671592952,500,125
2024-05-28T13:02:07.828069Z,28,78,22,276,2024-05-28 13:02:06.953945,3,151.7524225388903,151.7524225388903,8,151.7524225388903,750,300
2024-05-28T13:02:08.251591Z,85,65,8,563,2024-05-28 13:02:06.953951,4,329.6687590120163,329.6687590120163,8,329.6687590120163,750,700
2024-05-28T13:02:08.677721Z,90,54,6,250,2024-05-28 13:02:06.954106,5,241.30050217637492,241.30050217637492,8,241.30050217637492,500,875
2024-05-28T13:02:09.098484Z,79,12,56,448,2024-05-28 13:02:06.954124,6,252.34937166617266,252.34937166617266,8,252.34937166617266,250,700
2024-05-28T13:02:46.764106Z,7,12,99,360,2024-05-28 13:02:46.759696,1,201.99206687567545,201.99206687567545,9,201.99206687567545,250,300
2024-05-28T13:02:47.183429Z,35,29,97,300,2024-05-28 13:02:46.759727,2,177.4170671592952,177.4170671592952,9,177.4170671592952,500,125
2024-05-28T13:02:47.612575Z,20,82,53,276,2024-05-28 13:02:46.759734,3,151.7524225388903,151.7524225388903,9,151.7524225388903,750,300
2024-05-28T13:02:48.030825Z,27,19,46,563,2024-05-28 13:02:46.759740,4,329.6687590120163,329.6687590120163,9,329.6687590120163,750,700
2024-05-28T13:02:48.450413Z,24,63,44,250,2024-05-28 13:02:46.759890,5,251.30050217637492,251.30050217637492,9,251.30050217637492,500,875
2024-05-28T13:02:48.868301Z,70,56,75,448,2024-05-28 13:02:46.759904,6,252.34937166617266,252.34937166617266,9,252.34937166617266,250,700
2024-05-28T13:03:26.534530Z,66,75,100,360,2024-05-28 13:03:26.530517,1,201.99206687567545,201.99206687567545,10,201.99206687567545,250,300
2024-05-28T13:03:26.954771Z,83,90,19,300,2024-05-28 13:03:26.530553,2,177.4170671592952,177.4170671592952,10,177.4170671592952,500,125
