time,availPrbDl,availPrbUl,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,step,throughput,x,y
2024-06-30T09:40:56.630909Z,51,41,96,360,2024-06-30 09:40:56.625697,1,202.38285817967528,202.38285817967528,0,202.38285817967528,250,300
2024-06-30T09:40:57.062590Z,75,84,40,246,2024-06-30 09:40:56.625729,2,151.05969279409845,151.05969279409845,0,151.05969279409845,500,125
2024-06-30T09:40:57.483663Z,54,50,88,643,2024-06-30 09:40:56.625737,3,353.40784198906846,353.40784198906846,0,353.40784198906846,750,300
2024-06-30T09:40:57.906078Z,37,68,5,223,2024-06-30 09:40:56.625743,4,127.2743035816713,127.2743035816713,0,127.2743035816713,750,700
2024-06-30T09:40:58.332623Z,37,28,25,285,2024-06-30 09:40:56.625749,5,176.71508657470264,176.71508657470264,0,176.71508657470264,500,875
2024-06-30T09:40:58.780739Z,92,14,82,452,2024-06-30 09:40:56.625755,6,252.547913928482,252.547913928482,0,252.547913928482,250,700
2024-06-30T09:41:36.953385Z,77,19,35,360,2024-06-30 09:41:36.947699,1,202.38285817967528,202.38285817967528,1,202.38285817967528,250,300
2024-06-30T09:41:37.381270Z,68,28,67,246,2024-06-30 09:41:36.947802,2,151.05969279409845,151.05969279409845,1,151.05969279409845,500,125
2024-06-30T09:41:37.805142Z,86,75,77,643,2024-06-30 09:41:36.947815,3,353.40784198906846,353.40784198906846,1,353.40784198906846,750,300
2024-06-30T09:41:38.229133Z,10,89,72,223,2024-06-30 09:41:36.947823,4,127.2743035816713,127.2743035816713,1,127.2743035816713,750,700
2024-06-30T09:41:38.655251Z,74,82,100,285,2024-06-30 09:41:36.947829,5,176.71508657470264,176.71508657470264,1,176.71508657470264,500,875
2024-06-30T09:41:39.082591Z,69,57,4,452,2024-06-30 09:41:36.947838,6,252.547913928482,252.547913928482,1,252.547913928482,250,700
2024-06-30T09:42:17.381176Z,58,89,80,360,2024-06-30 09:42:17.374748,1,202.38285817967528,202.38285817967528,2,202.38285817967528,250,300
2024-06-30T09:42:17.814075Z,20,4,15,246,2024-06-30 09:42:17.374779,2,151.05969279409845,151.05969279409845,2,151.05969279409845,500,125
2024-06-30T09:42:18.237883Z,24,1,66,643,2024-06-30 09:42:17.374787,3,353.40784198906846,353.40784198906846,2,353.40784198906846,750,300
2024-06-30T09:42:18.662539Z,43,23,21,223,2024-06-30 09:42:17.374794,4,127.2743035816713,127.2743035816713,2,127.2743035816713,750,700
2024-06-30T09:42:19.084530Z,89,68,79,285,2024-06-30 09:42:17.374801,5,176.71508657470264,176.71508657470264,2,176.71508657470264,500,875
2024-06-30T09:42:19.525880Z,43,39,89,452,2024-06-30 09:42:17.374808,6,252.547913928482,252.547913928482,2,252.547913928482,250,700
2024-06-30T09:42:57.952673Z,95,40,100,360,2024-06-30 09:42:57.948338,1,202.38285817967528,202.38285817967528,3,202.38285817967528,250,300
2024-06-30T09:42:58.375784Z,16,99,1,246,2024-06-30 09:42:57.948371,2,151.05969279409845,151.05969279409845,3,151.05969279409845,500,125
2024-06-30T09:42:58.796330Z,60,28,45,643,2024-06-30 09:42:57.948379,3,353.40784198906846,353.40784198906846,3,353.40784198906846,750,300
2024-06-30T09:42:59.227986Z,38,64,89,223,2024-06-30 09:42:57.948386,4,127.2743035816713,127.2743035816713,3,127.2743035816713,750,700
2024-06-30T09:42:59.648994Z,62,9,71,285,2024-06-30 09:42:57.948393,5,176.71508657470264,176.71508657470264,3,176.71508657470264,500,875
2024-06-30T09:43:00.074884Z,23,2,62,452,2024-06-30 09:42:57.948399,6,252.547913928482,252.547913928482,3,252.547913928482,250,700
2024-06-30T09:43:38.430073Z,63,40,57,360,2024-06-30 09:43:38.424930,1,202.38285817967528,202.38285817967528,4,202.38285817967528,250,300
2024-06-30T09:43:38.851086Z,74,100,10,246,2024-06-30 09:43:38.424971,2,151.05969279409845,151.05969279409845,4,151.05969279409845,500,125
2024-06-30T09:43:39.277745Z,50,74,84,643,2024-06-30 09:43:38.424985,3,353.40784198906846,353.40784198906846,4,353.40784198906846,750,300
