time,availPrbDl,availPrbUl,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,step,throughput,x,y
2024-07-29T09:49:56.136707Z,39,14,59,344,2024-07-29 09:49:56.132033,1,203.10883584949147,203.10883584949147,0,203.10883584949147,250,300
2024-07-29T09:49:56.562466Z,34,31,84,332,2024-07-29 09:49:56.132064,2,202.45257202686082,202.45257202686082,0,202.45257202686082,500,125
2024-07-29T09:49:56.981211Z,45,83,100,352,2024-07-29 09:49:56.132070,3,202.05047371484608,202.05047371484608,0,202.05047371484608,750,300
2024-07-29T09:49:57.403693Z,27,96,78,407,2024-07-29 09:49:56.132076,4,226.76239504367504,226.76239504367504,0,226.76239504367504,750,700
2024-07-29T09:49:57.822436Z,51,25,2,297,2024-07-29 09:49:56.132082,5,177.36888472179345,177.36888472179345,0,177.36888472179345,500,875
2024-07-29T09:49:58.255256Z,49,41,35,435,2024-07-29 09:49:56.132087,6,253.48226104883133,253.48226104883133,0,253.48226104883133,250,700
2024-07-29T09:50:35.625422Z,27,86,95,344,2024-07-29 09:50:35.619788,1,203.10883584949147,203.10883584949147,1,203.10883584949147,250,300
2024-07-29T09:50:36.062221Z,5,61,93,332,2024-07-29 09:50:35.619827,2,202.45257202686082,202.45257202686082,1,202.45257202686082,500,125
2024-07-29T09:50:36.493942Z,13,89,20,352,2024-07-29 09:50:35.619867,3,202.05047371484608,202.05047371484608,1,202.05047371484608,750,300
2024-07-29T09:50:36.917256Z,8,94,58,407,2024-07-29 09:50:35.619880,4,226.76239504367504,226.76239504367504,1,226.76239504367504,750,700
2024-07-29T09:50:37.337156Z,10,99,60,297,2024-07-29 09:50:35.619891,5,177.36888472179345,177.36888472179345,1,177.36888472179345,500,875
2024-07-29T09:50:37.756743Z,52,69,31,435,2024-07-29 09:50:35.619902,6,253.48226104883133,253.48226104883133,1,253.48226104883133,250,700
2024-07-29T09:51:15.194720Z,16,40,20,344,2024-07-29 09:51:15.190082,1,203.10883584949147,203.10883584949147,2,203.10883584949147,250,300
2024-07-29T09:51:15.618058Z,84,7,89,332,2024-07-29 09:51:15.190322,2,202.45257202686082,202.45257202686082,2,202.45257202686082,500,125
2024-07-29T09:51:16.040233Z,98,49,92,352,2024-07-29 09:51:15.190338,3,202.05047371484608,202.05047371484608,2,202.05047371484608,750,300
2024-07-29T09:51:16.459660Z,71,76,8,407,2024-07-29 09:51:15.190346,4,226.76239504367504,226.76239504367504,2,226.76239504367504,750,700
2024-07-29T09:51:16.881043Z,27,80,53,297,2024-07-29 09:51:15.190353,5,177.36888472179345,177.36888472179345,2,177.36888472179345,500,875
2024-07-29T09:51:17.300226Z,6,22,30,435,2024-07-29 09:51:15.190360,6,253.48226104883133,253.48226104883133,2,253.48226104883133,250,700
2024-07-29T09:51:55.053154Z,50,6,18,344,2024-07-29 09:51:55.048968,1,203.10883584949147,203.10883584949147,3,203.10883584949147,250,300
2024-07-29T09:51:55.475651Z,94,22,54,332,2024-07-29 09:51:55.049001,2,202.45257202686082,202.45257202686082,3,202.45257202686082,500,125
2024-07-29T09:51:55.899696Z,87,100,72,352,2024-07-29 09:51:55.049009,3,202.05047371484608,202.05047371484608,3,202.05047371484608,750,300
2024-07-29T09:51:56.320553Z,2,3,10,407,2024-07-29 09:51:55.049016,4,226.76239504367504,226.76239504367504,3,226.76239504367504,750,700
2024-07-29T09:51:56.740791Z,83,100,33,297,2024-07-29 09:51:55.049023,5,177.36888472179345,177.36888472179345,3,177.36888472179345,500,875
2024-07-29T09:51:57.159962Z,61,95,85,435,2024-07-29 09:51:55.049029,6,253.48226104883133,253.48226104883133,3,253.48226104883133,250,700
2024-07-29T09:52:35.042988Z,86,26,100,344,2024-07-29 09:52:35.038722,1,203.10883584949147,203.10883584949147,4,203.10883584949147,250,300
2024-07-29T09:52:35.468534Z,10,93,33,332,2024-07-29 09:52:35.038752,2,202.45257202686082,202.45257202686082,4,202.45257202686082,500,125
2024-07-29T09:52:35.887881Z,60,69,48,352,2024-07-29 09:52:35.038760,3,202.05047371484608,202.05047371484608,4,202.05047371484608,750,300
2024-07-29T09:52:36.310631Z,95,8,53,407,2024-07-29 09:52:35.038767,4,226.76239504367504,226.76239504367504,4,226.76239504367504,750,700
2024-07-29T09:52:36.741997Z,90,48,92,297,2024-07-29 09:52:35.038773,5,177.36888472179345,177.36888472179345,4,177.36888472179345,500,875
2024-07-29T09:52:37.162516Z,22,54,72,435,2024-07-29 09:52:35.038780,6,253.48226104883133,253.48226104883133,4,253.48226104883133,250,700
2024-07-29T09:53:14.747100Z,96,41,73,344,2024-07-29 09:53:14.742761,1,203.10883584949147,203.10883584949147,5,203.10883584949147,250,300
2024-07-29T09:53:15.168630Z,97,13,73,332,2024-07-29 09:53:14.742792,2,202.45257202686082,202.45257202686082,5,202.45257202686082,500,125
2024-07-29T09:53:15.589938Z,20,66,84,352,2024-07-29 09:53:14.742800,3,202.05047371484608,202.05047371484608,5,202.05047371484608,750,300
2024-07-29T09:53:16.015482Z,50,68,71,407,2024-07-29 09:53:14.742861,4,226.76239504367504,226.76239504367504,5,226.76239504367504,750,700
2024-07-29T09:53:16.435110Z,34,9,45,297,2024-07-29 09:53:14.742873,5,177.36888472179345,177.36888472179345,5,177.36888472179345,500,875
2024-07-29T09:53:16.855306Z,5,8,73,435,2024-07-29 09:53:14.742888,6,253.48226104883133,253.48226104883133,5,253.48226104883133,250,700
2024-07-29T09:53:54.352500Z,39,4,1,344,2024-07-29 09:53:54.348524,1,203.10883584949147,203.10883584949147,6,203.10883584949147,250,300
