time,availPrbDl,availPrbUl,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,step,throughput,x,y
2024-06-06T09:16:56.274450Z,21,79,39,342,2024-06-06 09:16:56.268885,1,201.88240291654057,201.88240291654057,0,201.88240291654057,250,300
2024-06-06T09:16:56.731689Z,98,79,37,212,2024-06-06 09:16:56.268919,2,126.42923034665478,126.42923034665478,0,126.42923034665478,500,125
2024-06-06T09:16:57.168093Z,71,25,96,502,2024-06-06 09:16:56.268926,3,278.25805002296505,278.25805002296505,0,278.25805002296505,750,300
2024-06-06T09:16:57.589417Z,47,71,15,523,2024-06-06 09:16:56.268932,4,304.1065833272898,304.1065833272898,0,304.1065833272898,750,700
2024-06-06T09:16:58.035312Z,2,16,43,121,2024-06-06 09:16:56.268938,5,76.07346993600875,76.07346993600875,0,76.07346993600875,500,875
2024-06-06T09:16:58.462406Z,67,13,5,468,2024-06-06 09:16:56.268945,6,278.88381264378177,278.88381264378177,0,278.88381264378177,250,700
2024-06-06T09:17:37.236550Z,94,3,13,342,2024-06-06 09:17:37.231833,1,201.88240291654057,201.88240291654057,1,201.88240291654057,250,300
2024-06-06T09:17:37.661297Z,62,98,93,212,2024-06-06 09:17:37.231863,2,126.42923034665478,126.42923034665478,1,126.42923034665478,500,125
2024-06-06T09:17:38.086239Z,93,95,79,502,2024-06-06 09:17:37.231872,3,278.25805002296505,278.25805002296505,1,278.25805002296505,750,300
2024-06-06T09:17:38.508279Z,46,99,98,523,2024-06-06 09:17:37.231879,4,304.1065833272898,304.1065833272898,1,304.1065833272898,750,700
2024-06-06T09:17:38.954761Z,57,6,63,121,2024-06-06 09:17:37.231886,5,76.07346993600875,76.07346993600875,1,76.07346993600875,500,875
2024-06-06T09:17:39.379412Z,66,2,46,468,2024-06-06 09:17:37.231892,6,278.88381264378177,278.88381264378177,1,278.88381264378177,250,700
2024-06-06T09:18:17.742983Z,28,33,84,342,2024-06-06 09:18:17.736674,1,201.88240291654057,201.88240291654057,2,201.88240291654057,250,300
2024-06-06T09:18:18.166587Z,99,71,31,212,2024-06-06 09:18:17.736703,2,126.42923034665478,126.42923034665478,2,126.42923034665478,500,125
2024-06-06T09:18:18.597760Z,47,97,83,502,2024-06-06 09:18:17.736710,3,278.25805002296505,278.25805002296505,2,278.25805002296505,750,300
2024-06-06T09:18:19.045400Z,3,51,21,523,2024-06-06 09:18:17.736717,4,304.1065833272898,304.1065833272898,2,304.1065833272898,750,700
2024-06-06T09:18:19.531787Z,15,61,6,121,2024-06-06 09:18:17.736723,5,76.07346993600875,76.07346993600875,2,76.07346993600875,500,875
2024-06-06T09:18:19.976811Z,39,96,53,468,2024-06-06 09:18:17.736730,6,278.88381264378177,278.88381264378177,2,278.88381264378177,250,700
